longitude,latitude,Address,city,area,pType,subType,,-0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
88.82360458,26.10843304,"Domar, Nilphamari", Nilphamari,Domar,Admin,Upazilla,,,,,,,,,,,,
91.80733681,22.33066534,"Double Mooring, Chittagong", Chittagong,Double Mooring,Admin,Upazilla,,,,,,,,,,,,
91.56256726,25.07176386,"Dowarabazar, Sunamganj", Sunamganj,Dowarabazar,Admin,Upazilla,,,,,,,,,,,,
90.38795471,22.46687836,"Dumki, Patuakhali", Patuakhali,Dumki,Admin,Upazilla,,,,,,,,,,,,
89.41085815,22.82049157,"Dumuria, Khulna", Khulna,Dumuria,Admin,Upazilla,,,,,,,,,,,,
90.68207305,25.08963102,"Durgapur, Netrakona", Netrakona,Durgapur,Admin,Upazilla,,,,,,,,,,,,
88.77124786,24.44464923,"Durgapur, Rajshahi", Rajshahi,Durgapur,Admin,Upazilla,,,,,,,,,,,,
89.7102356,22.78631079,"Fakirhat, Bagerhat", Bagerhat,Fakirhat,Admin,Upazilla,,,,,,,,,,,,
90.75050354,23.12946787,"Faridganj, Chandpur", Chandpur,Faridganj,Admin,Upazilla,,,,,,,,,,,,
89.44887109,24.16066932,"Faridpur, Pabna", Pabna,Faridpur,Admin,Upazilla,,,,,,,,,,,,
89.81650342,23.60472895,"Faridpur Sadar, Faridpur", Faridpur,Faridpur Sadar,Admin,Upazilla,,,,,,,,,,,,
91.73721313,22.75940322,"Fatikchhari, Chittagong", Chittagong,Fatikchhari,Admin,Upazilla,,,,,,,,,,,,
91.96177244,24.69379398,"Fenchuganj, Sylhet", Sylhet,Fenchuganj,Admin,Upazilla,,,,,,,,,,,,
91.39629364,23.01086031,"Feni Sadar, Feni", Feni,Feni Sadar,Admin,Upazilla,,,,,,,,,,,,
88.95561218,25.4996858,"Fulbari, Dinajpur", Dinajpur,Fulbari,Admin,Upazilla,,,,,,,,,,,,
90.27328491,24.65076164,"Fulbaria, Mymensingh", Mymensingh,Fulbaria,Admin,Upazilla,,,,,,,,,,,,
89.65427399,25.24376435,"Fulchhari, Gaibandha", Gaibandha,Fulchhari,Admin,Upazilla,,,,,,,,,,,,
91.4322567,23.15551276,"Fulgazi, Feni", Feni,Fulgazi,Admin,Upazilla,,,,,,,,,,,,
89.46496849,24.88679107,"Gabtali, Bogra", Bogra,Gabtali,Admin,Upazilla,,,,,,,,,,,,
90.54382324,24.46590069,"Gaffargaon, Mymensingh", Mymensingh,Gaffargaon,Admin,Upazilla,,,,,,,,,,,,
89.54544067,25.3353379,"Gaibandha Sadar, Gaibandha", Gaibandha,Gaibandha Sadar,Admin,Upazilla,,,,,,,,,,,,
90.4058075,22.12889905,"Galachipa, Patuakhali", Patuakhali,Galachipa,Admin,Upazilla,,,,,,,,,,,,
89.19339087,25.87421794,"Gangachara, Rangpur", Rangpur,Gangachara,Admin,Upazilla,,,,,,,,,,,,
88.74481201,23.82555131,"Gangni, Meherpur", Meherpur,Gangni,Admin,Upazilla,,,,,,,,,,,,
90.56716919,24.77301925,"Gauripur, Mymensingh", Mymensingh,Gauripur,Admin,Upazilla,,,,,,,,,,,,
90.23002625,22.98304902,"Gaurnadi, Barisal", Barisal,Gaurnadi,Admin,Upazilla,,,,,,,,,,,,
90.65299988,23.56209895,"Gazaria, Munshiganj", Munshiganj,Gazaria,Admin,Upazilla,,,,,,,,,,,,
90.42178014,23.99644662,"Gazipur Sadar, Gazipur", Gazipur,Gazipur Sadar,Admin,Upazilla,,,,,,,,,,,,
89.97116089,24.484649,"Ghatail, Tangail", Tangail,Ghatail,Admin,Upazilla,,,,,,,,,,,,
89.86679077,23.89964938,"Ghior, Manikganj", Manikganj,Ghior,Admin,Upazilla,,,,,,,,,,,,
89.25601959,25.26767326,"Ghoraghat, Dinajpur", Dinajpur,Ghoraghat,Admin,Upazilla,,,,,,,,,,,,
89.76609629,23.75635443,"Goalandaghat, Rajbari", Rajbari,Goalandaghat,Admin,Upazilla,,,,,,,,,,,,
89.36914558,25.15710178,"Gobindaganj, Gaibandha", Gaibandha,Gobindaganj,Admin,Upazilla,,,,,,,,,,,,
88.33007813,24.46152568,"Godagari, Rajshahi", Rajshahi,Godagari,Admin,Upazilla,,,,,,,,,,,,
92.00775146,24.86401056,"Golabganj, Sylhet", Sylhet,Golabganj,Admin,Upazilla,,,,,,,,,,,,
88.29986572,24.79920168,"Gomastapur, Nawabganj", Nawabganj,Gomastapur,Admin,Upazilla,,,,,,,,,,,,
89.81872559,23.01402032,"Gopalganj Sadar, Gopalganj", Gopalganj,Gopalganj Sadar,Admin,Upazilla,,,,,,,,,,,,
89.92240906,24.56773284,"Gopalpur, Tangail", Tangail,Gopalpur,Admin,Upazilla,,,,,,,,,,,,
90.44873166,23.07906148,"Gosairhat, Shariatpur", Shariatpur,Gosairhat,Admin,Upazilla,,,,,,,,,,,,
91.9583378,25.08314978,"Gowainghat, Sylhet", Sylhet,Gowainghat,Admin,Upazilla,,,,,,,,,,,,
89.20284924,24.37279303,"Gurudaspur, Natore", Natore,Gurudaspur,Admin,Upazilla,,,,,,,,,,,,
91.41427385,24.33592259,"Habiganj Sadar, Habiganj", Habiganj,Habiganj Sadar,Admin,Upazilla,,,,,,,,,,,,
90.66055298,23.09994421,"Haim Char, Chandpur", Chandpur,Haim Char,Admin,Upazilla,,,,,,,,,,,,
90.85075378,23.26153417,"Hajiganj, Chandpur", Chandpur,Hajiganj,Admin,Upazilla,,,,,,,,,,,,
89.01174545,25.27543489,"Hakimpur, Dinajpur", Dinajpur,Hakimpur,Admin,Upazilla,,,,,,,,,,,,
91.77763939,22.31895424,"Halishahar, Chittagong", Chittagong,Halishahar,Admin,Upazilla,,,,,,,,,,,,
90.35132733,25.08464927,"Haluaghat, Mymensingh", Mymensingh,Haluaghat,Admin,Upazilla,,,,,,,,,,,,
89.04865492,23.65065683,"Harinakunda, Jhenaidah", Jhenaidah,Harinakunda,Admin,Upazilla,,,,,,,,,,,,
88.12065125,25.84130337,"Haripur, Thakurgaon", Thakurgaon,Haripur,Admin,Upazilla,,,,,,,,,,,,
89.9478496,23.72417937,"Harirampur, Manikganj", Manikganj,Harirampur,Admin,Upazilla,,,,,,,,,,,,
91.80862427,22.50875098,"Hathazari, Chittagong", Chittagong,Hathazari,Admin,Upazilla,,,,,,,,,,,,
89.13002014,26.14989083,"Hatibandha, Lalmonirhat", Lalmonirhat,Hatibandha,Admin,Upazilla,,,,,,,,,,,,
91.14051819,22.28846108,"Hatiya, Noakhali", Noakhali,Hatiya,Admin,Upazilla,,,,,,,,,,,,
90.52195182,22.95620984,"Hizla, Barisal", Barisal,Hizla,Admin,Upazilla,,,,,,,,,,,,
90.77796936,23.69734974,"Homna, Comilla", Comilla,Homna,Admin,Upazilla,,,,,,,,,,,,
90.66284162,24.44881179,"Hossainpur, Kishoreganj", Kishoreganj,Hossainpur,Admin,Upazilla,,,,,,,,,,,,
89.06066895,24.13547494,"Ishwardi, Pabna", Pabna,Ishwardi,Admin,Upazilla,,,,,,,,,,,,
90.59326172,24.69131955,"Ishwarganj, Mymensingh", Mymensingh,Ishwarganj,Admin,Upazilla,,,,,,,,,,,,
89.76997375,25.10860622,"Islampur, Jamalpur", Jamalpur,Islampur,Admin,Upazilla,,,,,,,,,,,,
91.11236572,24.54712318,"Itna, Kishoreganj", Kishoreganj,Itna,Admin,Upazilla,,,,,,,,,,,,
91.55044556,24.79172155,"Jagannathpur, Sunamganj", Sunamganj,Jagannathpur,Admin,Upazilla,,,,,,,,,,,,
