adm3_en,Satkhira,bound
Melandaha,Jamalpur,"[[[[89.88591515800005, 24.85715506300005], [89.89493444300007, 24.86716612600003], [89.89377081200007, 24.92447950500008], [89.89852249400008, 24.932432566000045], [89.90556435400003, 24.933971375000056], [89.89484863500007, 24.966228217000037], [89.90561709600007, 24.963867563000065], [89.90438575500008, 24.98600729700007], [89.89962886800004, 24.990639414000043], [89.89312857000004, 24.987641619000044], [89.89585933200004, 24.994713829000034], [89.88532978600006, 24.99648071000007], [89.88224962900006, 25.00310547600003], [89.86697590700004, 25.005976360000034], [89.86763704300006, 25.017601712000044], [89.83716125000007, 25.02561197400007], [89.82863682700008, 25.06093538600004], [89.81726139900007, 25.066615340000055], [89.80371810200006, 25.08352899600004], [89.79943869300007, 25.070835799000065], [89.78296387700004, 25.060330410000063], [89.77726202800005, 25.049505022000062], [89.77884596200005, 25.039376790000063], [89.77364439700006, 25.036848725000027], [89.76907925600005, 25.021109555000066], [89.76466698200005, 25.023749874000032], [89.74454685800004, 25.011397699000042], [89.74470931600007, 25.004273571000056], [89.72249650900005, 25.003179975000023], [89.70693377100008, 24.991234167000073], [89.70486195700005, 24.977172591000055], [89.71950527700005, 24.975719234000053], [89.72011928200004, 24.967770173000076], [89.72659436000004, 24.975309088000074], [89.73660195700006, 24.977626117000057], [89.74622382000007, 24.969378774000063], [89.75884761500004, 24.97483481100005], [89.76530994300003, 24.970954970000037], [89.76410551700008, 24.963830874000053], [89.77462074800007, 24.957253277000063], [89.77462433900007, 24.951709271000027], [89.78866548700006, 24.94373160400005], [89.78967798300005, 24.936995764000073], [89.79941314800004, 24.935500407000063], [89.79907856400007, 24.92232002800006], [89.79010650300006, 24.925035661000038], [89.79256264300005, 24.914874456000064], [89.78627805100007, 24.905987882000034], [89.78996082200007, 24.90231909000005], [89.78751448300005, 24.887803532000078], [89.77914527400009, 24.882845076000024], [89.77919665800005, 24.86768446800005], [89.78578650600008, 24.87091315400005], [89.78991573300004, 24.86586432300004], [89.80482674300004, 24.864631459000066], [89.80477838200005, 24.85661894100008], [89.81439663300006, 24.848905478000063], [89.84367876200008, 24.861933916000055], [89.86503346400008, 24.85619106200005], [89.88591515800005, 24.85715506300005]]]]"
Mirpur,Dhaka,"[[[[90.35766123900004, 23.77656465000007], [90.37651038700005, 23.788648799000043], [90.36763446900005, 23.810468705000062], [90.35156894300007, 23.80602592200006], [90.35526372400005, 23.79986486400003], [90.34913187900008, 23.796302860000026], [90.34891733900008, 23.783009900000025], [90.35742813800005, 23.784331918000078], [90.35766123900004, 23.77656465000007]]]]"
Mirpur,Kushtia,"[[[[88.91109644800008, 23.78390590400005], [88.92616563700005, 23.788960744000065], [88.93327620500008, 23.79811723100005], [88.93889573600006, 23.79639482700003], [88.93762064700007, 23.804015449000076], [88.94746385000008, 23.80108500500006], [88.95785007200004, 23.80896838800004], [88.97417160900005, 23.801542049000034], [88.97530050200004, 23.790268491000063], [88.98646380400004, 23.78520319200004], [88.99564291600007, 23.794980131000045], [89.00536286700003, 23.822888830000068], [89.01448043300007, 23.825176507000037], [89.01354557900004, 23.83211869300004], [89.02109192800003, 23.833773311000073], [89.02531444600004, 23.851827266000043], [89.05005364800007, 23.864032345000055], [89.06195152500004, 23.86409625300007], [89.06108243600005, 23.87919815500004], [89.09290919600005, 23.88029840300004], [89.07830094800005, 23.897014530000035], [89.09678305700004, 23.910261924000054], [89.08554089700004, 23.920844394000028], [89.08490771500004, 23.931313412000065], [89.08787833100007, 23.945229109000024], [89.10415458700004, 23.94800279800006], [89.09604647400005, 23.97277934400006], [89.07115755800004, 23.97880606500007], [89.05921863500004, 23.998751764000076], [89.03845194900003, 23.991177590000063], [89.02313011900009, 23.993766502000028], [89.01638263400008, 23.987477543000068], [88.99526257100007, 23.987385807000067], [88.98257219900006, 24.00118456100006], [88.96416980400005, 24.007121381000047], [88.96496752700006, 23.99473460300004], [88.97222715300006, 23.98925396100003], [88.97220492400004, 23.982069898000077], [88.96112674700004, 23.97634050100004], [88.94861802800006, 23.959360420000053], [88.96304580100008, 23.93686926600003], [88.96053629800008, 23.921898498000076], [88.93002137100007, 23.90784509300005], [88.89111440500005, 23.90284661900006], [88.88960595900005, 23.896947870000076], [88.89352367500004, 23.895041700000036], [88.88104534000007, 23.880898126000034], [88.88480809400005, 23.87396509100006], [88.88240855100008, 23.866973792000067], [88.86462270900006, 23.853842504000056], [88.85944589100006, 23.836777940000047], [88.86321550600007, 23.829557003000048], [88.87599074200006, 23.833651590000045], [88.89287820400006, 23.827340630000037], [88.90322035900004, 23.83974924000006], [88.90731731400007, 23.837860859000045], [88.92222585900004, 23.816404313000078], [88.91109644800008, 23.78390590400005]]]]"
Mirsharai,Chittagong,"[[[[91.59866799500008, 22.664980038000067], [91.61631832400008, 22.670331504000046], [91.61292484900008, 22.675259587000028], [91.60746360300004, 22.673770423000065], [91.60223969600008, 22.681809068000064], [91.60533668000005, 22.68684012600005], [91.61386827300004, 22.682380333000026], [91.63017284700004, 22.683419109000056], [91.63405228400006, 22.692121833000044], [91.65287010000009, 22.699570953000034], [91.61479499700005, 22.778325966000068], [91.61964666000006, 22.786852503000034], [91.62860512200007, 22.786659686000064], [91.61560795100007, 22.815025994000052], [91.61458944300006, 22.82897766900004], [91.61909261000005, 22.837733402000026], [91.61689478500006, 22.854366311000035], [91.62902989700007, 22.88341246400006], [91.62825762100005, 22.903537113000027], [91.62085080800006, 22.913379975000055], [91.62139964800008, 22.924120791000064], [91.61515554200008, 22.929209110000045], [91.61905873800004, 22.938492090000068], [91.61249009700003, 22.948311783000065], [91.61634186100008, 22.950834601000054], [91.60705494800004, 22.950163473000032], [91.60837147100005, 22.957341756000062], [91.60002157400004, 22.955079771000044], [91.60492353400008, 22.96237768700007], [91.61325251300008, 22.96060489000007], [91.60561681200005, 22.96530292600005], [91.60603144400005, 22.972038978000057], [91.59915090500004, 22.976068896000072], [91.59284935200003, 22.972765785000036], [91.59038225400008, 22.977057579000075], [91.56695497200008, 22.95427126800007], [91.56592657100003, 22.94705532300003], [91.55921466700005, 22.95361771300003], [91.55273220900006, 22.951503082000045], [91.54292643400004, 22.956699746000027], [91.53977535000007, 22.953751174000047], [91.54513790500005, 22.952203784000062], [91.53886149400006, 22.941931299000032], [91.52748477900008, 22.94730988200007], [91.52513712300004, 22.940246251000076], [91.53547260200008, 22.93671693400006], [91.53881519100008, 22.929908814000044], [91.53076787100008, 22.925341124000056], [91.53139847000006, 22.913837004000072], [91.51385860900007, 22.907071853000048], [91.51221276900009, 22.90184309400007], [91.45870767100007, 22.90196624600003], [91.46540453300008, 22.895853475000024], [91.46114001900008, 22.890879083000073], [91.46241159600004, 22.877524911000023], [91.47211640500007, 22.878647855000054], [91.47414585300004, 22.87229454100003], [91.46524264600004, 22.85800584200007], [91.46533278100009, 22.85488007400005], [91.46794173600006, 22.862276055000052], [91.47110072900006, 22.861099866000075], [91.46120384700004, 22.827917958000057], [91.44569316400003, 22.809253500000068], [91.44275472600003, 22.79774801700006], [91.45546080100007, 22.754283663000024], [91.45872534700004, 22.752318262000074], [91.46428539200008, 22.759077862000026], [91.46253252000008, 22.746906739000053], [91.48023478100004, 22.714842017000024], [91.52417844600006, 22.690437314000064], [91.54409767400006, 22.672878953000065], [91.58089419300006, 22.687160466000023], [91.58354379500008, 22.681582477000063], [91.59209665300006, 22.679714786000034], [91.59866799500008, 22.664980038000067]]]]"
Mirzaganj,Patuakhali,"[[[[90.20827906900007, 22.22212604500004], [90.21505340700008, 22.224313994000056], [90.21177173500007, 22.22867257200005], [90.21130988200008, 22.28363570500005], [90.20620428300003, 22.30114449200005], [90.20993859500004, 22.30610346900005], [90.20885386900005, 22.32422419200003], [90.22297881800006, 22.345355351000023], [90.25014119200006, 22.343836904000057], [90.26508164100005, 22.350480099000038], [90.26352466700007, 22.37176941900003], [90.27051902300008, 22.40663728900006], [90.27957789200008, 22.424843388000056], [90.30293417000007, 22.452473762000068], [90.30870482600005, 22.472199943000078], [90.29494619300004, 22.474242538000055], [90.28575200000006, 22.46668263400005], [90.27953708900009, 22.47327934200007], [90.27386790300005, 22.469427860000053], [90.27260402000007, 22.474579972000072], [90.26139442800007, 22.461051960000077], [90.22114609800008, 22.448483047000025], [90.22384629800007, 22.43950987200003], [90.21133578100006, 22.41816497600007], [90.19574559300008, 22.414938249000045], [90.18769239900007, 22.395257283000035], [90.18657819700007, 22.366343805000042], [90.18052482600007, 22.36190866000004], [90.18179843900003, 22.34741549900008], [90.17793813300005, 22.339405009000075], [90.16835483700004, 22.33859030900004], [90.17574970200008, 22.324105076000023], [90.13827050800006, 22.343101454000077], [90.15045227900004, 22.322004931000038], [90.15629959100005, 22.325559181000074], [90.15939239000005, 22.32159944600005], [90.15640192300003, 22.310369654000056], [90.14561326900008, 22.31231049200005], [90.14343594800005, 22.28974223000006], [90.15861947200005, 22.24947793900003], [90.20827906900007, 22.22212604500004]]]]"
Mirzapur,Tangail,"[[[[89.97946545300005, 24.055671853000035], [89.98946634600009, 24.05127188000006], [89.99187910700005, 24.057306166000046], [89.99703727100007, 24.05753216100004], [90.00580052500004, 24.039124241000025], [90.01729629300007, 24.04434969700003], [90.01742949400006, 24.03611616200004], [90.02717512300006, 24.03394021200006], [90.01963839000007, 24.02874382500005], [90.02422330500008, 24.021089396000036], [90.04073904600006, 24.028389665000077], [90.06359708700006, 24.02925745300007], [90.06594546200006, 24.037443127000074], [90.06979945500007, 24.03236864400003], [90.07449125700003, 24.03381950800008], [90.07508097600004, 24.04115458800004], [90.08983562800006, 24.035025560000065], [90.10215023800004, 24.019037973000025], [90.10817527800003, 24.017570036000052], [90.10993996200006, 24.026528847000066], [90.12015717500003, 24.02536165300006], [90.12889311100008, 24.033239196000068], [90.14768727300003, 24.033584649000034], [90.15040699300005, 24.052236506000042], [90.16184036900006, 24.055075659000067], [90.15776136500006, 24.06427307200005], [90.17699828500008, 24.074798878000024], [90.17913780500004, 24.08753127700004], [90.17234410500004, 24.096329135000076], [90.17335882300006, 24.108020187000022], [90.18576034500006, 24.097990027000037], [90.19860432200005, 24.09880653700003], [90.20092563800006, 24.093779900000072], [90.20980719500005, 24.094003371000042], [90.21485450600005, 24.100962449000065], [90.23016844100005, 24.105604721000077], [90.22998109400004, 24.11399420600003], [90.21766035500008, 24.126092791000076], [90.21993752200007, 24.142702491000023], [90.22577275700007, 24.15079128800005], [90.22615554100008, 24.162920307000036], [90.24873174700008, 24.19118272700007], [90.23852626300004, 24.183402087000047], [90.23613785300006, 24.202851880000026], [90.22865838500007, 24.20018527600007], [90.21513372800007, 24.205331240000078], [90.21453604200008, 24.213378530000057], [90.21990380700004, 24.214055619000078], [90.22093787500006, 24.22012931200004], [90.20517128300008, 24.22098570600008], [90.20189784600007, 24.21240961600006], [90.16773961400008, 24.209612161000052], [90.15163391200008, 24.199581399000067], [90.13173380200004, 24.19709461900004], [90.11567191400007, 24.182686174000025], [90.11919253700006, 24.17885891800006], [90.11404454900008, 24.175716282000053], [90.12300430400006, 24.17760098800005], [90.11646329400008, 24.175254945000063], [90.11601527600004, 24.168379000000073], [90.10708386600004, 24.16417259600007], [90.09856985200008, 24.169958914000063], [90.09970057500004, 24.16296729100003], [90.09070834500005, 24.159779467000078], [90.07987314000007, 24.175114226000062], [90.06208422100008, 24.173520427000028], [90.05984899800006, 24.163449333000074], [90.05211059000004, 24.187315684000055], [90.04283372900005, 24.18473199300007], [90.04333483000005, 24.173446182000077], [90.03345273200006, 24.16837937100007], [90.02986697400007, 24.17309490100007], [90.02467704400004, 24.171269076000044], [90.02360196400008, 24.16717033900005], [90.03008396100006, 24.162960772000076], [90.02273651500008, 24.15301423300008], [90.00531208600006, 24.14909304400004], [90.00256191600005, 24.138097550000055], [90.00726060500006, 24.13587999400005], [90.00322012700008, 24.12586115600004], [89.98660346600008, 24.116934512000057], [89.97450067500006, 24.117897726000024], [89.97605617000005, 24.10948220000006], [89.96690195100007, 24.096603904000062], [89.97764406300007, 24.095702064000022], [89.97473429900003, 24.08233104800007], [89.98357919700004, 24.081376528000078], [89.97660438800006, 24.070889717000057], [89.97946545300005, 24.055671853000035]]]]"
Mitha Pukur,Rangpur,"[[[[89.13949970000004, 25.43642668500007], [89.14850615800003, 25.433946251000066], [89.15355706800005, 25.446965093000074], [89.15062206900006, 25.45557742400007], [89.15430335000008, 25.463102587000037], [89.14268216600004, 25.482638054000063], [89.14483058100006, 25.490521871000055], [89.16720309000004, 25.496058981000033], [89.17414178700005, 25.50718418400004], [89.18289069300005, 25.50370474700003], [89.19994232800008, 25.510272151000038], [89.21558282300003, 25.50362141900007], [89.23510078200007, 25.50359868000004], [89.24494710000005, 25.50973766000004], [89.24868084500008, 25.520776880000028], [89.26300607300004, 25.519302092000032], [89.26360911600005, 25.512517341000034], [89.27108247800004, 25.509824224000056], [89.27398191900005, 25.520679780000023], [89.29474937600008, 25.505200873000035], [89.30306708300003, 25.51500502500005], [89.31990151400004, 25.510451076000038], [89.31662464200008, 25.499716498000055], [89.33305505300007, 25.503662133000034], [89.33595226500006, 25.497257656000045], [89.34145413600004, 25.501786265000078], [89.34137102300008, 25.497184452000056], [89.34320581400004, 25.501536761000068], [89.36514950100008, 25.495411598000032], [89.37806714100003, 25.501333763000048], [89.38949963000005, 25.488435836000065], [89.40487006200004, 25.483437540000068], [89.40107927500009, 25.472509036000076], [89.41517763200005, 25.462756737000063], [89.42561913300005, 25.475900368000055], [89.43012731000005, 25.474240002000045], [89.43364011600005, 25.487141526000073], [89.44199515100007, 25.488111567000033], [89.43937655300005, 25.50112494700005], [89.44429486900003, 25.50395547100004], [89.43978989000004, 25.512098305000052], [89.45052256900004, 25.517649651000056], [89.44447254800008, 25.52176778300003], [89.44351171000005, 25.51842915000003], [89.43403817900008, 25.52049523000005], [89.44321827700008, 25.52763099400005], [89.43783724000008, 25.527124508000043], [89.43792003100003, 25.538456644000064], [89.42852936000008, 25.531612650000056], [89.42577949000008, 25.53698560500004], [89.41837382800009, 25.528556593000076], [89.41182284100006, 25.53640083700003], [89.40290135100008, 25.53350442900006], [89.40349720800003, 25.53892779800003], [89.40568249500006, 25.535732653000025], [89.41177938700008, 25.541609960000073], [89.40588601100006, 25.542151690000026], [89.40475102100004, 25.54699290800005], [89.41322356100005, 25.550691663000066], [89.40465623500006, 25.550060527000028], [89.40825195500008, 25.55962113100003], [89.39917632500004, 25.552001645000075], [89.39253256800004, 25.55583745100006], [89.38847540100005, 25.564162166000074], [89.39130374500007, 25.571107978000043], [89.37777971800006, 25.576754193000056], [89.37773252300008, 25.58070692800004], [89.38288948300004, 25.57556353700005], [89.38796119800008, 25.581653086000074], [89.38463441800008, 25.58504292200007], [89.39391280500007, 25.587801417000037], [89.38575020200005, 25.59145165600006], [89.38790989500006, 25.59583410600004], [89.39663525600008, 25.597475467000038], [89.38285490800007, 25.610443307000025], [89.39293398100006, 25.609105598000042], [89.39178578600007, 25.615517271000044], [89.38562573300004, 25.615322759000037], [89.38962789800007, 25.625633254000036], [89.37732638400007, 25.62902970600004], [89.38460895900005, 25.63960992500006], [89.37643238800007, 25.63856049800006], [89.37295073800004, 25.63064373900005], [89.37450821400006, 25.639459790000046], [89.36037544700008, 25.63680922800006], [89.36381975400008, 25.642542535000075], [89.35989880300008, 25.650475769000025], [89.36469645600005, 25.658171667000033], [89.35542464400004, 25.655343577000053], [89.35340317100008, 25.650475934000042], [89.35820520500005, 25.650990383000078], [89.35476737800008, 25.64689592700006], [89.34987894700004, 25.652649497000027], [89.35452561800008, 25.658731499000055], [89.35067336200007, 25.66175695800007], [89.34568424400004, 25.65534201500003], [89.33836176100004, 25.66611620300006], [89.33509831200007, 25.657406077000076], [89.32219801200006, 25.657107462000056], [89.31609135300005, 25.66745890900006], [89.30631407200008, 25.666619827000034], [89.29994371300006, 25.67349786400007], [89.29251569200005, 25.67030383200006], [89.29330275300003, 25.676025270000025], [89.28266799300008, 25.682263257000045], [89.27858317100004, 25.67244230700004], [89.27624571900003, 25.679588607000028], [89.26328722700003, 25.678480239000066], [89.25856426600006, 25.66956246700005], [89.24342595400003, 25.667356554000037], [89.24216330200005, 25.676571729000045], [89.23339733600005, 25.673196189000066], [89.23195488900006, 25.661549713000056], [89.22713685300005, 25.666495206000036], [89.21727169200005, 25.65701776000003], [89.18178958300007, 25.652224802000035], [89.16134670400004, 25.665375209000047], [89.14148208100005, 25.665645176000055], [89.13742335300003, 25.657396876000064], [89.13960155100006, 25.65005332800007], [89.13536951500004, 25.65121065900007], [89.12976344700007, 25.63267376500005], [89.13439315700003, 25.627132176000032], [89.14511425700005, 25.62669470700007], [89.13367695700003, 25.612931466000077], [89.14609119100004, 25.581761409000023], [89.14065724300008, 25.585220176000064], [89.14152255200008, 25.572790075000057], [89.12764129600004, 25.566604400000074], [89.11967610200008, 25.55311076600003], [89.11133008000007, 25.551302922000048], [89.10185718500009, 25.528015397000047], [89.10391474200009, 25.516128941000034], [89.11076387100007, 25.513856757000042], [89.10471831400008, 25.51176623300006], [89.11486409900004, 25.506163868000044], [89.10693285600007, 25.50837887600005], [89.11107958400004, 25.502865391000057], [89.10390027800008, 25.49981136200006], [89.10294903600004, 25.489650908000044], [89.10823831300007, 25.48693243500003], [89.10402258100004, 25.484410552000043], [89.11167970500009, 25.48112904100003], [89.10462063600005, 25.47430864100005], [89.11282006400006, 25.470489694000037], [89.11507655600008, 25.46135601900005], [89.12348534400007, 25.468715062000058], [89.12163526400008, 25.460523456000033], [89.13027510500007, 25.458104080000055], [89.11510525300008, 25.453819030000034], [89.12523517400007, 25.45172721800003], [89.12993602700004, 25.444868677000045], [89.12996202000005, 25.448214430000064], [89.13800035400004, 25.446888150000063], [89.13236870100008, 25.441209567000044], [89.13949970000004, 25.43642668500007]]]]"
Mithamain,Kishoreganj,"[[[[91.24201925600005, 24.42689640900005], [91.23654540700005, 24.462301628000034], [91.22801827600006, 24.48061769800006], [91.22094079100003, 24.485014189000026], [91.21469595200006, 24.482208098000058], [91.21980801000007, 24.474795241000038], [91.20532080800007, 24.480937656000037], [91.19904332900006, 24.46662348900003], [91.19031487400008, 24.465723402000037], [91.18409058600008, 24.47133848800007], [91.18785321300004, 24.477417536000075], [91.19525533600006, 24.47812336100003], [91.19163918800007, 24.481745501000034], [91.16682074900007, 24.485456646000046], [91.15388960600006, 24.476339152000037], [91.14402829300008, 24.47542134200006], [91.12600080600004, 24.48260857100007], [91.12061492100008, 24.49027274100007], [91.11858804000008, 24.48648812500005], [91.11767368300008, 24.493848659000037], [91.10960217200005, 24.48651602500007], [91.09110009900007, 24.49030599300005], [91.08841575100007, 24.495162995000044], [91.06088612900004, 24.494808610000064], [91.04925589400005, 24.48658099100004], [91.06625686800004, 24.474422239000035], [91.06032415300007, 24.47250374500004], [91.05434525500004, 24.457908916000065], [91.04205273300005, 24.464788718000023], [91.03296539100006, 24.44827328200006], [91.02798414500006, 24.44843761100003], [91.02949240500004, 24.461425010000028], [91.02359329800004, 24.467873031000067], [91.01970458300008, 24.461675925000065], [90.99827711300009, 24.455469098000037], [90.99407821700004, 24.448510216000045], [90.99954528000006, 24.42494633800004], [90.99560895700006, 24.417069635000075], [91.01158268100005, 24.415618677000055], [91.01088594900006, 24.408785780000073], [91.02293295900006, 24.41410083900007], [91.02092897600005, 24.406357366000066], [91.02974841700006, 24.40305385100004], [91.02178782500005, 24.38270969900003], [91.03606527300008, 24.383454878000066], [91.03928856200008, 24.37896080300004], [91.03479233800005, 24.37697711000004], [91.04185866700004, 24.370658972000058], [91.04990791200004, 24.378920900000026], [91.07246985900008, 24.359729208000033], [91.07952694000005, 24.362825256000065], [91.08262650300009, 24.374513913000044], [91.09115566300005, 24.379772467000066], [91.09367667600009, 24.367447535000053], [91.10848842900003, 24.361941218000027], [91.11981444400004, 24.36445715900004], [91.12041001700004, 24.382890773000042], [91.14016025600006, 24.388053502000048], [91.15176897600008, 24.376018637000072], [91.15922229800003, 24.38928883600005], [91.18279739300004, 24.411475417000077], [91.18255839100004, 24.420157376000077], [91.19502211200006, 24.424574754000048], [91.19701588000004, 24.42995192500007], [91.22510755900004, 24.434735593000028], [91.24201925600005, 24.42689640900005]]]]"
Mohammadpur,Dhaka,"[[[[90.32979620300006, 23.750348271000064], [90.33692117900006, 23.749471424000035], [90.35149464400007, 23.75807231400006], [90.35649125600008, 23.75399851800006], [90.35103206200006, 23.746215533000054], [90.35616959000004, 23.74538959100005], [90.37497277400007, 23.756925419000027], [90.37823566900005, 23.75126839400008], [90.38191788300009, 23.75273885300004], [90.38271317000005, 23.757819253000036], [90.37422910500004, 23.758158313000024], [90.36556917300004, 23.774932979000027], [90.35915774400007, 23.770564397000044], [90.35889710100008, 23.76241824500005], [90.34953944100005, 23.76218829100003], [90.34415995600006, 23.768590334000066], [90.32979620300006, 23.750348271000064]]]]"
Mohammadpur,Magura,"[[[[89.64493111000007, 23.29801998000005], [89.62221154900004, 23.309338930000024], [89.60325954600006, 23.34128700100007], [89.60801940700009, 23.369791229000043], [89.59940738600005, 23.37915915800005], [89.61420775900007, 23.38156355900003], [89.61759496000008, 23.38682453200005], [89.60687910400009, 23.420591216000048], [89.60535464500003, 23.47381294300004], [89.57081199100008, 23.498806315000024], [89.52709715300006, 23.51299890000007], [89.51146748500008, 23.510687962000077], [89.50800069200005, 23.505413803000067], [89.50804425100006, 23.469505439000045], [89.49352772000003, 23.455810489000044], [89.48688402700003, 23.442420866000077], [89.49778663700005, 23.441433928000038], [89.48771193300007, 23.438360533000036], [89.49567249900008, 23.42865306500005], [89.49410463000004, 23.41991949100003], [89.50616361200008, 23.416075100000057], [89.50367330000006, 23.407681368000055], [89.50784310800003, 23.393752945000074], [89.51743542500003, 23.393274747000078], [89.52688928600008, 23.378717820000077], [89.51626370100007, 23.359518120000075], [89.51710249200005, 23.339198942000053], [89.50031709400008, 23.34161848100007], [89.49497882800006, 23.33291284200004], [89.49792673000007, 23.32244471100006], [89.48416192400003, 23.31320450900006], [89.48042776700004, 23.29956489400007], [89.49814602100008, 23.295287348000045], [89.50361744600008, 23.288110575000076], [89.52447801900007, 23.278177937000066], [89.53435092200004, 23.303297781000026], [89.55599850400006, 23.308487919000072], [89.56004876000009, 23.320355686000028], [89.57849527800005, 23.323394043000064], [89.60464167000003, 23.32103005400006], [89.60447304900003, 23.312213975000077], [89.61765238800007, 23.30443874900004], [89.62100736700006, 23.307718546000046], [89.63330662300007, 23.297735225000054], [89.64493111000007, 23.29801998000005]]]]"
Mohanganj,Netrakona,"[[[[90.99021281400007, 24.74156361300004], [91.00268694900006, 24.73809140000003], [91.00601860900008, 24.74147021600004], [91.01219829000007, 24.75407307300003], [91.00780164700006, 24.757876914000065], [91.01200799800006, 24.767127994000077], [91.04066686100003, 24.764060484000026], [91.06312375100003, 24.771867620000023], [91.06400610400004, 24.767833218000078], [91.07535729900007, 24.764557641000067], [91.07695857700008, 24.775846553000065], [91.08707478300005, 24.777653462000046], [91.08693978800005, 24.787349669000037], [91.10259047100004, 24.781475542000067], [91.11634214200006, 24.806649993000065], [91.11248704800005, 24.817060713000046], [91.11863099800007, 24.834446094000043], [91.13049652100005, 24.840124311000068], [91.12349976800004, 24.848716841000055], [91.11381036500006, 24.847542650000037], [91.10345686900007, 24.863662272000056], [91.10888759600005, 24.871556793000025], [91.09844576500006, 24.889586636000047], [91.08880545600005, 24.887581457000067], [91.07842042100003, 24.90002830900005], [91.05384077300005, 24.900581541000065], [91.04328129900006, 24.90799514100007], [91.02931047400006, 24.88302171500004], [91.02534565500008, 24.888485848000073], [91.01651023700003, 24.885728246000042], [91.02048947600008, 24.89056507500004], [91.01511143700009, 24.89861338700007], [90.99202812800007, 24.888296764000074], [90.97418968800008, 24.870019221000064], [90.96626622400004, 24.87754625100007], [90.95689718100004, 24.866293075000044], [90.94213453200007, 24.871288821000064], [90.94053625800007, 24.86267248000007], [90.93044237400005, 24.86445037900006], [90.93461515500007, 24.85137122100008], [90.94457320900005, 24.85384730900006], [90.94640787800006, 24.833997271000044], [90.92771222200008, 24.832088793000025], [90.91468765800005, 24.822323979000032], [90.91519919600006, 24.80583541900006], [90.93227316800005, 24.79675299300004], [90.93619335500006, 24.78902934300004], [90.93320129300008, 24.773119660000077], [90.94606044700004, 24.766384522000067], [90.95527132600006, 24.775327332000074], [90.98036584100004, 24.78424424800005], [90.97753346500008, 24.779715877000058], [90.98152389900008, 24.769714375000035], [90.97529255100005, 24.755513269000062], [90.98192053900004, 24.753646928000023], [90.99021281400007, 24.74156361300004]]]]"
Mohanpur,Rajshahi,"[[[[88.58125742600004, 24.490395702000058], [88.60296020200008, 24.489211372000057], [88.60598568400007, 24.482455531000028], [88.62935418300003, 24.48480444000006], [88.64188639100007, 24.47646602800006], [88.64628211300004, 24.49691185200004], [88.66313586200005, 24.502375135000023], [88.67309096600007, 24.51318628100006], [88.69321080300006, 24.51507420100006], [88.70264901300004, 24.523405871000023], [88.71559383100004, 24.521897400000057], [88.71064377100004, 24.54279795100007], [88.70525184800005, 24.54402387300007], [88.71189185300005, 24.554107097000042], [88.70815763000007, 24.564924903000076], [88.71207239000006, 24.56449110500006], [88.69635736900005, 24.56870058900006], [88.70082998700008, 24.580850346000034], [88.69147060600005, 24.587832561000027], [88.69130884400005, 24.59801824300007], [88.67379802600004, 24.604763380000065], [88.67963443600007, 24.615452670000025], [88.68048507500004, 24.633307453000043], [88.66994868500007, 24.632758607000028], [88.65646470900003, 24.624074922000034], [88.64914395200003, 24.631342244000052], [88.64593139400006, 24.62123648100004], [88.63896531500006, 24.617178987000045], [88.63256863200007, 24.621431078000057], [88.63517966700005, 24.625453926000034], [88.62679571400008, 24.627801012000077], [88.63040948100007, 24.612267501000076], [88.62634385200005, 24.61146627900007], [88.60574752400004, 24.619947765000063], [88.60401413300008, 24.625602439000033], [88.59311081000004, 24.609235845000057], [88.59323379600005, 24.58501213900007], [88.58660154200004, 24.575520033000032], [88.59568461600009, 24.561487876000058], [88.58601891900008, 24.541910978000033], [88.57469215800006, 24.53573794400006], [88.57453512300003, 24.522163972000044], [88.56796973200005, 24.517426573000023], [88.57876544000004, 24.513935871000058], [88.58125742600004, 24.490395702000058]]]]"
